Unnamed: 0,Tipo,Usuario,Comentario,Comentario_TOKEN,Comentario_LEMA,tokens_red
0,Rosado,Francesc G,  cena con maridaje de castell d encús     rosado de merlot y petit verdot  muy gastronómico  servido a temperatura casi  ambiente   sin frío  vino con muchos matices  ,"['cena', 'maridaje', 'castell', 'encús', 'rosado', 'merlot', 'petit', 'verdot', 'gastronómico', 'servido', 'temperatura', 'casi', 'ambiente', 'frío', 'vino', 'matices']","['cena', 'maridaje', 'rosado', 'merlot', 'pequeña', 'verdot', 'gastronómico', 'servido', 'temperatura', 'ambiente', 'frío', 'matiz']","['cena', 'maridaje', 'rosado', 'merlot', 'pequeña', 'verdot', 'gastronómico', 'servido', 'temperatura', 'ambiente', 'frío', 'matiz']"
1,Rosado,Francesc G,  revisando y poniendo al día espumosos  nacionales  internacionales    buenos  no tan buenos  excelentes    pequeña y escueta valoración ya que algunos han sido bebidos catados hace ya un tiempo  seguimos que hay faena  buen rosado de una bodega que cada vez me gusta más ,"['revisando', 'poniendo', 'día', 'espumosos', 'nacionales', 'internacionales', 'buenos', 'tan', 'buenos', 'excelentes', 'pequeña', 'escueta', 'valoración', 'sido', 'bebidos', 'catados', 'hace', 'tiempo', 'seguimos', 'faena', 'buen', 'rosado', 'bodega', 'cada', 'vez', 'gusta']","['espumoso', 'excelente', 'pequeña', 'valoración', 'catado', 'tiempo', 'rosado', 'bodega', 'vez', 'gustar']","['espumoso', 'excelente', 'pequeña', 'valoración', 'catado', 'tiempo', 'rosado', 'bodega', 'vez', 'gustar']"
2,Rosado,Francesc G, pues no sé si el mejor rosado del país y de lo mejor que se puede encontrar  pero que está muy bueno y tiene vida eterna  sin duda alguna  elaborado con garnacha       tempranillo      y viura       crianza en barrica durante   años  y lo mejor que aun tenemos una del   y una del     ,"['pues', 'sé', 'si', 'mejor', 'rosado', 'país', 'mejor', 'puede', 'encontrar', 'bueno', 'vida', 'eterna', 'duda', 'alguna', 'elaborado', 'garnacha', 'tempranillo', 'viura', 'crianza', 'barrica', 'años', 'mejor', 'aun']","['saber', 'mejor', 'rosado', 'mejor', 'poder', 'encontrar', 'vida', 'duda', 'elaborado', 'garnacha', 'tempranillo', 'viura', 'crianza', 'barrica', 'año', 'mejor']","['saber', 'mejor', 'rosado', 'mejor', 'poder', 'encontrar', 'vida', 'duda', 'elaborado', 'garnacha', 'tempranillo', 'viura', 'crianza', 'barrica', 'año', 'mejor']"
3,Rosado,Francesc G,    a jornada  curso cata nivel a  outlook wine       seguir aprendiendo  catando  compartiendo  esto ya es complicado    muy complicado    aun así  muy recomendable para amantes del vino que quieran profundizar en el tema  y la prueba final es lo de menos  ,"['jornada', 'curso', 'cata', 'nivel', 'outlook', 'wine', 'seguir', 'aprendiendo', 'catando', 'compartiendo', 'complicado', 'complicado', 'aun', 'así', 'recomendable', 'amantes', 'vino', 'quieran', 'profundizar', 'tema', 'prueba', 'final', 'menos']","['jornada', 'cata', 'nivel', 'catar', 'complicado', 'complicado', 'recomendable', 'amante', 'tema', 'prueba', 'final', 'menos']","['jornada', 'cata', 'nivel', 'catar', 'complicado', 'complicado', 'recomendable', 'amante', 'tema', 'prueba', 'final', 'menos']"
4,Rosado,Francesc G,   blancos   rosados empordà     buen rosado de vins de taller  elaborado mayoritariamente con merlot y algo de lledoner roig  corta maceración pelicular a baja temperatura  maceración del mosto durante     hores  fermentación en inox  rosa pálido  muy provenzal  fruta roja  manzana verde  cítricos  ligero toque vegetal  fresco  botella   de    interesantes vinos de siurana  baix empordà   ,"['blancos', 'rosados', 'empordà', 'buen', 'rosado', 'vins', 'taller', 'elaborado', 'mayoritariamente', 'merlot', 'lledoner', 'roig', 'corta', 'maceración', 'pelicular', 'baja', 'temperatura', 'maceración', 'mosto', 'hores', 'fermentación', 'inox', 'rosa', 'pálido', 'provenzal', 'fruta', 'roja', 'manzana', 'verde', 'cítricos', 'ligero', 'toque', 'vegetal', 'fresco', 'botella', 'interesantes', 'vinos', 'siurana', 'baix', 'empordà']","['blanca', 'rosado', 'empordà', 'rosado', 'elaborado', 'mayoría', 'merlot', 'corto', 'maceración', 'baja', 'temperatura', 'maceración', 'mosto', 'fermentación', 'inoxidable', 'rosa', 'pálido', 'provenzal', 'fruta', 'rojo', 'manzana', 'verde', 'cítrico', 'ligero', 'toque', 'vegetal', 'fresco', 'botella', 'interesante', 'empordà']","['blanca', 'rosado', 'empordà', 'rosado', 'elaborado', 'mayoría', 'merlot', 'corto', 'maceración', 'baja', 'temperatura', 'maceración', 'mosto', 'fermentación', 'inoxidable', 'rosa', 'pálido', 'provenzal', 'fruta', 'rojo', 'manzana', 'verde', 'cítrico', 'ligero', 'toque', 'vegetal', 'fresco', 'botella', 'interesante', 'empordà']"
5,Rosado,Francesc G,  visita y cata en coca i fitó  masroig  priorat do montsant      gran visita de la mano de toni coca con visita a los viñedos  seguimos con el rosado también entre viñedos     syrah  una parte tiene crianza de   meses en barrica de roble francés  rojo brillante  nada de chuches  se agradece   fruta roja  floral  ligeros tostados  sotobosque  fresco  muy gastronómico  ,"['visita', 'cata', 'coca', 'fitó', 'masroig', 'priorat', 'do', 'montsant', 'gran', 'visita', 'mano', 'toni', 'coca', 'visita', 'viñedos', 'seguimos', 'rosado', 'viñedos', 'syrah', 'parte', 'crianza', 'meses', 'barrica', 'roble', 'francés', 'rojo', 'brillante', 'chuches', 'agradece', 'fruta', 'roja', 'floral', 'ligeros', 'tostados', 'sotobosque', 'fresco', 'gastronómico']","['visita', 'cata', 'coca', 'montsant', 'visita', 'mano', 'coca', 'visita', 'viñedo', 'rosado', 'viñedo', 'syrah', 'crianza', 'barrica', 'roble', 'francés', 'rojo', 'brillante', 'golosina', 'agradecer', 'fruta', 'rojo', 'floral', 'ligero', 'tostado', 'sotobosque', 'fresco', 'gastronómico']","['visita', 'cata', 'coca', 'montsant', 'visita', 'mano', 'coca', 'visita', 'viñedo', 'rosado', 'viñedo', 'syrah', 'crianza', 'barrica', 'roble', 'francés', 'rojo', 'brillante', 'golosina', 'agradecer', 'fruta', 'rojo', 'floral', 'ligero', 'tostado', 'sotobosque', 'fresco', 'gastronómico']"
6,Rosado,Francesc G, tast amb dones  clos figueras  gratallops            en formato covid pero poco a poco volviendo a la normalidad  deseando que el   ya sea como antes del    otro de los que poco ya más puedo decir  nada nuevo  todo bueno  así que contaré otras cosas     a sara y rené no les gustaban los rosados hasta que probaron uno en concreto y decidieron hacer  algo     ellos no lo consideran un rosado entre otras cosas porque no está elaborado como tal    la crianza se realiza en un fudre viejísimo ,"['tast', 'amb', 'dones', 'clos', 'figueras', 'gratallops', 'formato', 'covid', 'volviendo', 'normalidad', 'deseando', 'puedo', 'decir', 'nuevo', 'bueno', 'así', 'contaré', 'cosas', 'sara', 'rené', 'gustaban', 'rosados', 'probaron', 'concreto', 'decidieron', 'hacer', 'consideran', 'rosado', 'cosas', 'elaborado', 'tal', 'crianza', 'realiza', 'fudre', 'viejísimo']","['gusto', 'don', 'figuera', 'gratallops', 'formato', 'poder', 'decir', 'nueva', 'cosa', 'sara', 'rosado', 'concreto', 'rosado', 'cosa', 'elaborado', 'crianza', 'realizar', 'fudre']","['gusto', 'don', 'figuera', 'gratallops', 'formato', 'poder', 'decir', 'nueva', 'cosa', 'sara', 'rosado', 'concreto', 'rosado', 'cosa', 'elaborado', 'crianza', 'realizar', 'fudre']"
7,Rosado,Francesc G, tenía curiosidad por el rosado de valenciso y ha acabado cumpliendo expectativas     tempranillo con fermentación de   meses con sus lías  rojo brillante  de inicio no me convenció pero a medida que fue abriéndose me fue gustando más  fruta roja y blanca  melón   buena acidez  regaliz al final  fresco y con cuerpo  levaduras  buena rcp  sobre los  €  me gustará tomarlo con más guarda en botella a ver qué tal   ,"['curiosidad', 'rosado', 'valenciso', 'acabado', 'cumpliendo', 'expectativas', 'tempranillo', 'fermentación', 'meses', 'lías', 'rojo', 'brillante', 'inicio', 'convenció', 'medida', 'abriéndose', 'gustando', 'fruta', 'roja', 'blanca', 'melón', 'buena', 'acidez', 'regaliz', 'final', 'fresco', 'cuerpo', 'levaduras', 'buena', 'rcp', 'gustará', 'tomarlo', 'guarda', 'botella', 'ver', 'tal']","['curiosidad', 'rosado', 'acabar', 'cumplir', 'expectativa', 'tempranillo', 'fermentación', 'rojo', 'brillante', 'inicio', 'convencer', 'medida', 'gustar', 'fruta', 'rojo', 'blanca', 'melón', 'acidez', 'regaliz', 'final', 'fresco', 'cuerpo', 'levadura', 'rcp', 'gustar', 'tomar', 'guardar', 'botella', 'ver']","['curiosidad', 'rosado', 'acabar', 'cumplir', 'expectativa', 'tempranillo', 'fermentación', 'rojo', 'brillante', 'inicio', 'convencer', 'medida', 'gustar', 'fruta', 'rojo', 'blanca', 'melón', 'acidez', 'regaliz', 'final', 'fresco', 'cuerpo', 'levadura', 'rcp', 'gustar', 'tomar', 'guardar', 'botella', 'ver']"
8,Rosado,Francesc G, contino  y rosado  elaborado con graciano      y garnacha       crianza de   meses en barrica  previo sangrado y fermentado de la uva  rojo brillante  fruta roja  cítricos  floral  buena acidez  con cuerpo  vinoso  producción muy limitada  ,"['contino', 'rosado', 'elaborado', 'graciano', 'garnacha', 'crianza', 'meses', 'barrica', 'previo', 'sangrado', 'fermentado', 'uva', 'rojo', 'brillante', 'fruta', 'roja', 'cítricos', 'floral', 'buena', 'acidez', 'cuerpo', 'vinoso', 'producción', 'limitada']","['contino', 'rosado', 'elaborado', 'graciano', 'garnacha', 'crianza', 'barrica', 'sangrado', 'fermentado', 'uva', 'rojo', 'brillante', 'fruta', 'rojo', 'cítrico', 'floral', 'acidez', 'cuerpo', 'vinoso', 'producción', 'limitado']","['contino', 'rosado', 'elaborado', 'graciano', 'garnacha', 'crianza', 'barrica', 'sangrado', 'fermentado', 'uva', 'rojo', 'brillante', 'fruta', 'rojo', 'cítrico', 'floral', 'acidez', 'cuerpo', 'vinoso', 'producción', 'limitado']"
9,Rosado,Francesc G, excelente rosado de bernaví  do terra alta   elaborado con    morenillo  crianza de   meses en barrica de roble francés con sus lías  rojo cebolla  fruta roja  herbáceo  sotobosque  toques especiados  glicérico  con cuerpo  mineral  producción de sólo   botellas  grandes ruth y marco  ,"['excelente', 'rosado', 'bernaví', 'do', 'terra', 'alta', 'elaborado', 'morenillo', 'crianza', 'meses', 'barrica', 'roble', 'francés', 'lías', 'rojo', 'cebolla', 'fruta', 'roja', 'herbáceo', 'sotobosque', 'toques', 'especiados', 'glicérico', 'cuerpo', 'mineral', 'producción', 'sólo', 'botellas', 'grandes', 'ruth', 'marco']","['excelente', 'rosado', 'terra', 'alta', 'elaborado', 'morenillo', 'crianza', 'barrica', 'roble', 'francés', 'rojo', 'cebolla', 'fruta', 'rojo', 'herbáceo', 'sotobosque', 'toque', 'especiado', 'glicérico', 'cuerpo', 'mineral', 'producción', 'botella', 'grande', 'marco']","['excelente', 'rosado', 'terra', 'alta', 'elaborado', 'morenillo', 'crianza', 'barrica', 'roble', 'francés', 'rojo', 'cebolla', 'fruta', 'rojo', 'herbáceo', 'sotobosque', 'toque', 'especiado', 'glicérico', 'cuerpo', 'mineral', 'producción', 'botella', 'grande', 'marco']"
