source,target,weight
rojo,fruta,204
color,fruta,189
fruta,rosado,188
color,boca,178
color,rosado,173
fruta,boca,171
rojo,color,166
nariz,boca,160
color,nariz,160
fruta,fresco,151
rojo,rosado,149
rojo,boca,149
acidez,fruta,146
rosado,boca,145
fruta,nariz,143
rosado,fresco,142
color,fresco,135
rojo,fresco,133
fresco,boca,131
acidez,color,131
rojo,acidez,124
acidez,boca,124
rojo,nariz,122
acidez,rosado,121
rosado,nariz,120
acidez,fresco,108
nariz,fresco,108
fruta,brillante,105
acidez,nariz,104
color,nota,102
color,aroma,101
color,brillante,101
fruta,nota,100
rojo,brillante,97
aroma,boca,97
color,fresa,95
nota,boca,94
brillante,boca,93
fruta,aroma,92
fruta,fresa,92
fruta,rosa,91
rosado,nota,91
rojo,nota,90
bodega,rosado,89
color,rosa,89
fresa,rosado,88
nariz,nota,88
fresa,boca,87
rojo,fresa,85
rosado,brillante,84
nariz,brillante,84
rosa,boca,83
rojo,aroma,83
fresa,nariz,82
fresco,nota,81
fruta,floral,80
fresa,fresco,80
rojo,rosa,77
acidez,aroma,77
acidez,nota,75
acidez,fresa,74
rosado,aroma,73
aroma,fresco,73
rosa,fresco,72
fruta,final,72
color,floral,72
aroma,nariz,71
acidez,brillante,71
color,frambuesa,70
fresco,brillante,70
rojo,floral,70
nariz,rosa,68
rosado,rosa,68
fruta,rcp,67
rojo,final,66
color,rcp,65
rcp,rosado,65
acidez,final,64
floral,rosado,64
rojo,rcp,63
boca,final,63
floral,boca,63
color,final,62
bodega,color,62
frambuesa,boca,61
toque,fruta,61
fruta,frambuesa,59
acidez,rosa,58
limpio,fruta,58
fruta,suave,58
rosado,elaborado,58
acidez,rcp,57
color,suave,57
color,limpio,57
blanca,rosado,57
frambuesa,fresco,56
floral,nariz,56
limpio,boca,56
floral,fresco,55
rojo,frambuesa,55
botella,rosado,55
rojo,limpio,55
nariz,final,55
acidez,floral,55
toque,rosado,55
rcp,boca,55
rosa,nota,54
blanca,fruta,54
rcp,fresco,54
fruta,seco,53
rosado,suave,53
rcp,nariz,52
aroma,rosa,52
acidez,limpio,52
floral,brillante,52
rosado,tempranillo,52
suave,boca,51
rosado,ligero,51
fresa,frambuesa,51
limpio,nariz,51
agradable,boca,51
nota,brillante,51
rojo,suave,51
garnacha,rosado,51
frambuesa,nariz,50
color,seco,50
agradable,fruta,50
floral,nota,50
acidez,frambuesa,50
fruta,elaborado,49
limpio,brillante,49
color,tempranillo,49
aroma,nota,49
fruta,ligero,49
rosa,brillante,48
color,intenso,48
fresa,aroma,48
brillante,final,48
rosado,intenso,48
fruta,tempranillo,48
fresco,final,48
color,agradable,48
color,toque,47
fruta,largo,47
suave,nariz,47
aroma,brillante,47
rojo,toque,47
boca,largo,47
tempranillo,fresco,46
fresa,brillante,46
rojo,seco,46
rojo,blanca,46
color,largo,46
color,elaborado,46
garnacha,color,46
persistencia,fruta,45
fruta,pálido,45
fruta,intenso,45
aroma,final,45
rcp,nota,45
fresa,nota,45
fresa,rosa,45
color,pálido,45
rosado,largo,45
fruta,cítrico,44
floral,rosa,44
bodega,fruta,44
acidez,suave,44
agradable,rosado,44
toque,boca,44
intensidad,fruta,44
rojo,elaborado,44
frambuesa,aroma,44
rojo,intenso,44
rojo,pálido,43
color,blanca,43
rosado,frambuesa,43
acidez,seco,43
nota,final,42
flor,fruta,42
rojo,ligero,42
rojo,tempranillo,42
boca,ligero,42
rosado,seco,42
rosado,final,42
agradable,nariz,42
fruta,herbáceo,42
tempranillo,boca,41
rojo,intensidad,41
pálido,boca,41
intensidad,boca,41
rojo,cítrico,41
seco,boca,41
limpio,fresco,41
rojo,largo,41
color,cítrico,41
color,ligero,41
rojo,herbáceo,40
color,cereza,40
rosado,golosina,40
rojo,persistencia,40
color,intensidad,40
nariz,largo,39
rosado,gustar,39
bodega,fresco,39
blanca,boca,39
color,persistencia,39
blanca,fresco,39
botella,fruta,39
rcp,brillante,39
pálido,fresco,39
boca,cereza,39
floral,aroma,39
limpio,aroma,39
pálido,rosa,39
elaborado,boca,39
rosa,final,39
garnacha,fruta,39
acidez,agradable,39
fruta,cereza,39
fresa,final,38
nariz,ligero,38
persistencia,fresco,38
limpio,final,38
suave,fresco,38
acidez,cítrico,38
rojo,agradable,38
limpio,rosado,38
rosado,frutal,38
toque,fresco,38
acidez,largo,38
rosado,cítrico,38
acidez,toque,38
agradable,fresco,38
