source,target,weight
blanca,fruta,2509
fruta,amarillo,2259
blanca,amarillo,2118
fruta,boca,2032
fruta,acidez,2008
amarillo,boca,1987
color,amarillo,1872
blanca,boca,1851
color,fruta,1840
nariz,boca,1839
color,boca,1832
blanca,acidez,1817
acidez,amarillo,1752
fruta,cítrico,1680
color,nariz,1674
blanca,color,1674
acidez,boca,1658
nariz,amarillo,1632
cítrico,amarillo,1596
blanca,cítrico,1578
fruta,nariz,1560
color,acidez,1557
blanca,nariz,1435
cítrico,boca,1340
cítrico,acidez,1329
nariz,acidez,1325
fruta,nota,1317
pajizo,amarillo,1298
brillante,amarillo,1295
blanca,nota,1268
brillante,fruta,1267
fruta,fresco,1241
aroma,boca,1236
nota,amarillo,1236
blanca,fresco,1224
fruta,aroma,1215
blanca,brillante,1213
amarillo,fresco,1210
color,cítrico,1210
nota,boca,1183
fruta,final,1174
color,nota,1170
aroma,amarillo,1156
pajizo,fruta,1150
amarillo,final,1141
brillante,boca,1115
fresco,boca,1113
blanca,aroma,1106
boca,final,1105
color,aroma,1097
blanca,final,1096
nota,acidez,1086
acidez,fresco,1078
acidez,final,1070
nariz,cítrico,1053
blanca,pajizo,1041
brillante,color,1040
nariz,nota,1026
color,fresco,1025
color,final,1017
fruta,seco,1004
dorado,fruta,997
brillante,acidez,991
pajizo,boca,985
pajizo,color,981
aroma,acidez,978
brillante,nariz,945
aroma,nariz,942
nariz,final,940
pajizo,acidez,936
nota,cítrico,917
dorado,blanca,903
blanca,seco,902
brillante,cítrico,901
dorado,amarillo,894
cítrico,fresco,890
nariz,fresco,885
verdoso,amarillo,873
cítrico,final,852
blanca,flor,849
pajizo,nariz,845
intensidad,fruta,835
dorado,boca,835
intensidad,boca,829
dorado,color,826
aroma,cítrico,825
pajizo,cítrico,824
seco,amarillo,819
intensidad,amarillo,815
manzana,amarillo,815
seco,acidez,798
color,intensidad,791
verdoso,boca,791
tropical,fruta,783
toque,fruta,783
manzana,boca,777
intensidad,nariz,776
untuoso,fruta,764
aroma,final,759
flor,fruta,756
mineral,fruta,755
flor,amarillo,752
largo,boca,751
blanca,toque,746
persistencia,fruta,743
flor,boca,743
limpio,amarillo,741
limpio,boca,739
color,seco,735
intensidad,acidez,734
dorado,acidez,731
color,limpio,731
verdoso,fruta,731
seco,boca,728
nota,fresco,728
fruta,largo,728
verdoso,color,726
blanca,untuoso,726
fruta,limpio,725
fruta,herbáceo,723
brillante,final,720
blanca,intensidad,717
rcp,fruta,710
nota,final,706
brillante,limpio,705
blanca,largo,701
aroma,nota,701
blanca,manzana,701
dorado,nariz,699
manzana,fruta,698
blanca,rcp,696
manzana,color,693
untuoso,amarillo,693
mineral,blanca,692
pajizo,nota,690
persistencia,acidez,690
limpio,acidez,690
brillante,aroma,688
blanca,crianza,688
herbáceo,amarillo,687
toque,amarillo,683
fruta,madura,682
tropical,amarillo,682
largo,amarillo,681
mineral,acidez,680
verdoso,nariz,676
manzana,nariz,674
mineral,amarillo,672
brillante,nota,672
pálido,amarillo,672
rcp,acidez,671
verdoso,blanca,671
aroma,fresco,670
seco,cítrico,669
color,persistencia,669
limpio,nariz,669
fresco,final,668
persistencia,amarillo,667
blanca,barrica,665
flor,color,663
blanca,persistencia,661
brillante,fresco,659
crianza,fruta,658
brillante,pajizo,656
flor,nariz,654
blanca,limpio,652
blanca,herbáceo,644
verdoso,acidez,639
toque,boca,632
destello,boca,630
color,largo,629
tropical,blanca,628
rcp,amarillo,627
blanca,botella,626
intensidad,aroma,626
destello,amarillo,625
mineral,boca,622
manzana,acidez,622
dorado,cítrico,622
pajizo,fresco,621
mineral,color,621
fruta,barrica,619
seco,nariz,619
rcp,color,618
destello,nariz,618
blanca,bodega,617
largo,nariz,612
color,destello,612
largo,acidez,611
untuoso,boca,610
flor,acidez,604
fruta,floral,595
intensidad,cítrico,595
blanca,pálido,592
destello,acidez,589
pajizo,final,589
tropical,boca,587
toque,acidez,585
intensidad,final,584
fruta,pálido,580
reflejo,amarillo,579
fruta,destello,578
herbáceo,boca,573
untuoso,acidez,573
seco,final,573
floral,amarillo,567
manzana,cítrico,564
pajizo,aroma,564
crianza,amarillo,563
persistencia,boca,563
tropical,acidez,562
dorado,aroma,562
blanca,floral,560
blanca,madura,556
pálido,boca,554
herbáceo,acidez,554
dorado,nota,552
untuoso,color,551
aroma,seco,548
verdoso,cítrico,546
blanca,destello,546
persistencia,cítrico,544
dorado,brillante,544
tropical,color,539
herbáceo,cítrico,539
fruta,botella,538
mineral,cítrico,537
limpio,final,535
destello,aroma,534
flor,cítrico,531
toque,cítrico,522
dorado,final,520
madura,amarillo,520
largo,final,518
manzana,aroma,517
untuoso,cítrico,516
color,toque,515
destello,final,515
verdoso,fresco,513
limpio,cítrico,512
rcp,boca,511
color,herbáceo,511
madura,boca,511
reflejo,fruta,508
aroma,limpio,506
fruta,lágrima,504
mineral,nariz,503
flor,aroma,501
verdoso,nota,500
seco,nota,499
reflejo,boca,494
floral,boca,492
ligero,amarillo,492
lágrima,amarillo,491
brillante,largo,491
manzana,fresco,491
fruta,ligero,488
intensidad,nota,488
intensidad,seco,487
color,pálido,482
hueso,fruta,480
toque,nariz,480
mineral,nota,480
blanca,lágrima,479
manzana,final,478
pálido,nariz,478
verdoso,aroma,477
fruta,fondo,476
tropical,cítrico,474
rcp,nota,473
brillante,manzana,472
verdoso,pajizo,471
verdoso,final,471
untuoso,nariz,470
manzana,nota,470
fondo,boca,469
lágrima,boca,468
brillante,seco,468
aroma,largo,467
barrica,amarillo,465
tropical,nariz,465
brillante,intensidad,464
pajizo,seco,462
pálido,acidez,461
floral,acidez,460
rcp,cítrico,459
ligero,boca,459
mineral,final,458
bodega,fruta,457
dorado,seco,456
limpio,fresco,456
lágrima,acidez,455
limpio,nota,455
pajizo,intensidad,452
tostado,fruta,452
fruta,salino,451
fondo,amarillo,451
brillante,destello,450
blanca,reflejo,450
blanca,ligero,450
color,floral,449
persistencia,nariz,448
fruta,hierba,446
flor,brillante,445
largo,nota,445
largo,cítrico,443
intensidad,fresco,443
brillante,toque,440
persistencia,nota,440
blanca,año,439
untuoso,brillante,436
rcp,fresco,436
flor,final,436
madura,acidez,433
bodega,amarillo,432
destello,cítrico,432
flor,nota,431
color,lágrima,428
mineral,seco,428
herbáceo,nariz,428
color,madura,427
tropical,brillante,426
crianza,barrica,426
manzana,pajizo,426
flor,fresco,426
color,reflejo,424
untuoso,nota,423
albariño,fruta,421
verdoso,brillante,418
botella,amarillo,417
mineral,aroma,417
blanca,hierba,416
fondo,acidez,415
blanca,fondo,415
toque,final,414
pálido,cítrico,414
seco,fresco,414
intensidad,limpio,413
blanca,tostado,412
albariño,acidez,412
color,ligero,411
pajizo,limpio,411
color,fondo,410
pajizo,persistencia,410
amarillo,hierba,409
blanca,salino,409
suave,amarillo,406
floral,cítrico,405
dorado,fresco,404
ligero,acidez,404
crianza,cítrico,404
reflejo,acidez,404
aroma,fondo,403
suave,boca,402
verdoso,reflejo,401
rcp,nariz,401
salino,amarillo,400
hierba,boca,400
floral,nota,399
albariño,amarillo,398
fondo,nariz,397
